accession,GC_Content,tRNAs,Cgenes,Pgenes,CRISPR
OU997945,28.609,.,.,.,.
NC_000964,43.514,86,4237,88,.
NC_016845,57.485,62,5779,0,.
NC_002695,50.537,103,5155,136,.
NC_004337,50.889,97,4313,343,.
CP006698,50.761,.,.,.,.
NC_000913,50.791,86,4288,145,.
LR813083,62.523,.,.,.,.
LR813085,62.531,.,.,.,.
NC_003210,37.981,.,2846,9,.
LT599583,60.795,67,7455,0,.
NC_007795,32.868,9,2767,28,.
NC_002516,66.556,63,5572,19,.
LR130779,64.495,65,5442,6,.
FR989675,66.839,.,.,.,.
OU532558,30.29,.,.,.,.
NC_002163,30.549,43,1572,40,.
OU532556,31.425,.,.,.,.
NC_000117,41.307,37,887,3,.
OW568917,63.69,53,4388,0,.
NC_016603,38.824,69,3599,0,.
NC_011916,67.172,51,3886,0,.
LR792634,29.078,37,1551,29,.
OU365335,72.743,.,.,.,.
AP022643,35.256,106,5838,0,.
AP023014,35.533,0,0,0,0
AP023005,35.589,0,0,0,0
CP011968,28.778,90,3657,37,.
AP022894,35.384,0,0,0,0
AP022859,44.983,0,0,0,0
AP022861,44.983,0,0,0,0
AP022863,44.983,0,0,0,0
AP022865,44.983,0,0,0,0
CP090841,72.771,73,8163,381,.
AP022438,55.445,0,0,0,0
AP024495,55.892,90,4972,0,.
AP024913,55.419,0,0,0,0
AP022384,52.109,0,0,0,0
AP022380,52.111,0,0,0,0
AP022509,55.296,0,0,0,0
AP024611,52.214,0,0,0,0
CP051459,56.238,75,4183,90,.
AP024916,59.762,0,0,0,0
AP022323,39.004,84,3717,0,.
AP024694,50.539,89,4852,222,.
AP020332,52.101,0,0,0,0
AP025669,40.349,0,0,0,0
AP020330,52.136,0,0,0,0
AP017424,72.302,69,7452,0,.
CP065190,41.707,0,0,0,0
AP018699,41.999,65,2032,0,.
AP025454,72.159,85,7955,0,.
AP025539,72.249,85,7601,0,.
CP001733,44.553,56,1961,115,.
AP019368,33.685,0,0,0,0
AP024185,68.714,0,0,0,0
AP018280,39.612,0,0,0,0
AP024277,39.813,0,0,0,0
AP018697,69.112,52,3543,0,.
AP024280,39.931,0,0,0,0
AP024275,39.911,0,0,0,0
AP018318,40.449,0,0,0,0
AP024194,68.797,0,0,0,0
AP025690,37.514,61,2736,0,.
AP024183,68.816,0,0,0,0
AP017991,39.692,43,4492,0,.
NZ_CP023249,57.536,87,5074,106,1
NZ_CP029137,57.399,87,5278,158,2
NZ_CP050150,48.777,92,4214,31,2
NZ_CP021971,48.888,89,3908,43,3
NZ_LR699008,48.888,89,3906,43,3
NZ_CP021960,56.997,91,5736,200,0
NZ_CP017994,57.126,86,5043,251,2
NZ_CP020358,55.571,86,5912,125,0
NZ_CP061389,57.345,95,5608,147,2
NZ_CP058940,57.435,93,5561,202,0
NZ_CP020841,57.048,88,5710,184,0
NZ_CP026023,57.455,87,5314,166,2
NZ_CP036320,57.224,86,5177,246,0
NZ_CP059468,57.349,85,5495,181,2
NZ_CP061404,57.178,94,5428,225,2
NZ_CP041082,57.128,84,5633,180,0
NZ_AP014950,57.274,86,5111,83,0
NZ_CP036327,57.196,88,5312,227,0
NZ_CP041946,57.441,89,5471,161,0
NZ_CP045193,57.322,86,5246,159,0
NZ_CP012568,57.502,95,5494,159,0
NZ_CP012561,57.503,95,5588,184,0
NZ_CP012560,57.501,94,5007,105,0
NZ_CP032185,57.504,95,5682,153,0
NZ_CP024038,57.493,91,5305,155,0
NZ_CP063922,57.392,86,5203,153,2
NZ_CP028850,57.416,87,5797,191,2
NZ_CP044047,57.242,89,5348,145,0
NZ_CP018735,57.11,87,5333,138,0
NZ_CP078033,57.388,83,5525,176,2
NZ_CP012753,57.415,85,5299,133,2
NZ_CP032178,57.271,86,5209,131,0
NZ_CP034408,57.407,85,5226,356,2
NZ_CP067045,57.194,87,5381,163,0
NZ_CP064205,57.462,89,5249,149,1
NZ_CP063890,57.451,87,5240,153,2
NZ_CP043580,57.472,88,5432,169,2
NZ_CP056432,57.368,90,5691,191,0
NZ_CP041353,57.565,88,5129,123,2
NZ_CP018362,56.164,85,5860,133,1
NZ_CP018447,57.092,86,5361,142,0
NZ_CP055451,57.257,87,5296,152,0
NZ_CP018450,57.092,86,5364,143,0
NZ_CP057069,57.165,88,5109,89,0
NZ_CP020061,57.255,86,5390,183,2
NZ_CP031849,57.45,89,5316,159,0
NZ_CP026155,57.281,87,5366,118,0
NZ_CP026715,56.062,84,5611,152,1
NZ_CP048933,57.299,87,5268,106,0
NZ_CP029587,57.565,87,5174,134,0
NZ_CP031800,57.175,89,5830,153,0
NZ_CP025080,57.428,85,5260,150,2
NZ_CP029590,57.563,89,5184,129,0
NZ_CP026177,56.994,88,6029,191,0
NZ_CP011618,54.915,86,6217,121,0
NZ_CP033625,57.282,87,5538,157,0
NZ_CP033777,57.437,88,5349,161,0
NZ_CP056372,57.46,87,5492,169,0
NZ_CP041639,57.562,87,5485,154,0
NZ_CP050858,57.338,87,5164,361,0
NZ_CP041927,57.563,93,5431,149,0
NZ_CP063913,57.367,87,5265,174,0
NZ_CP040861,57.335,87,5470,188,0
NZ_CP011597,54.916,86,6172,121,0
NZ_CP063277,57.325,88,5487,190,2
NZ_CP043047,57.205,85,5600,168,0
NZ_CP026751,57.383,86,5346,153,2
NZ_CP054303,57.178,87,5525,142,0
NZ_CP063904,57.379,90,5244,169,0
