accession,domain,species,CN,range,average,range_no_cross,average_no_cross,range_normalized,average_normalized
NZ_CP056121,Bacteria,Moritella sp. 28,20,0.2655,0.013973684,0.9888,0.052042105,0.279473684,0.279473684
NZ_CP056120,Bacteria,Moritella sp. 36,20,0.27,0.014210526,0.9888,0.052042105,0.284210526,0.284210526
NZ_CP056122,Bacteria,Moritella sp. 5,20,0.2748,0.014463158,0.9886,0.052031579,0.289263158,0.289263158
NZ_CP090501,Bacteria,Photobacterium damselae subsp. damselae strain CSP DAM1,20,0.4086,0.021505263,0.9758,0.051357895,0.430105263,0.430105263
NZ_CP090498,Bacteria,Photobacterium damselae subsp. damselae strain CSP DAM2,20,0.4086,0.021505263,0.9758,0.051357895,0.430105263,0.430105263
NZ_CP090487,Bacteria,Photobacterium damselae subsp. damselae strain AS-15-3942-9,20,0.4154,0.021863158,0.9753,0.051331579,0.437263158,0.437263158
NZ_CP090493,Bacteria,Photobacterium damselae subsp. damselae strain AS-15-3942-7,20,0.4155,0.021868421,0.9753,0.051331579,0.437368421,0.437368421
NZ_CP090485,Bacteria,Photobacterium damselae subsp. damselae strain AS-16-0963-1,20,0.4213,0.022173684,0.9752,0.051326316,0.443473684,0.443473684
NZ_CP046752,Bacteria,Photobacterium damselae strain 9046-81,20,0.4242,0.022326316,0.4242,0.022326316,0.446526316,0.446526316
NZ_CP070624,Bacteria,Photobacterium damselae subsp. damselae strain RM-71,20,0.4251,0.022373684,0.9565,0.050342105,0.447473684,0.447473684
NZ_CP018297,Bacteria,Photobacterium damselae strain Phdp Wu-1,20,0.4294,0.0226,0.9711,0.051110526,0.452,0.452
NZ_CP090495,Bacteria,Photobacterium damselae subsp. damselae strain AS-15-0759-2,20,0.4337,0.022826316,0.9745,0.051289474,0.456526316,0.456526316
NZ_CP051128,Bacteria,Priestia megaterium strain S2,20,0.6322,0.033273684,0.9558,0.050305263,0.665473684,0.665473684
NZ_CP091110,Bacteria,Neobacillus drentensis strain JC05,20,0.6351,0.033426316,0.9468,0.049831579,0.668526316,0.668526316
NZ_CP063049,Bacteria,Photobacterium damselae subsp. damselae strain KC-Dl-1,19,0.4381,0.024338889,0.9215,0.051194444,0.462438889,0.462438889
NZ_CP033043,Bacteria,Metabacillus litoralis strain Bac94,19,0.6686,0.037144444,0.8844,0.049133333,0.705744444,0.705744444
NZ_CP088268,Bacteria,Metabacillus litoralis strain NCTR108,19,0.6999,0.038883333,0.8683,0.048238889,0.738783333,0.738783333
NZ_CP056123,Bacteria,Moritella sp. 24,18,0.2956,0.017388235,0.9877,0.0581,0.312988235,0.312988235
NZ_CP026095,Bacteria,Peribacillus asahii strain OM18,18,0.3229,0.018994118,0.9796,0.057623529,0.341894118,0.341894118
